JobSeekerID,SkillID,Proficiency,YearsUsing
7001,16,Expert,2
7001,8,Advanced,1
7001,17,Intermediate,0
7002,17,Expert,6
7002,14,Advanced,0
7002,16,Expert,4
7003,3,Expert,4
7003,10,Expert,5
7003,11,Intermediate,2
7004,8,Advanced,4
7004,23,Intermediate,5
7004,16,Advanced,5
7005,3,Intermediate,6
7005,7,Advanced,4
7005,20,Expert,5
7006,1,Intermediate,0
7006,7,Intermediate,0
7006,14,Expert,5
7007,24,Advanced,5
7007,23,Intermediate,7
7007,17,Expert,3
7008,12,Expert,5
7008,3,Advanced,2
7008,7,Advanced,2
7009,24,Intermediate,1
7009,17,Advanced,0
7009,23,Advanced,0
7010,12,Intermediate,3
7010,1,Advanced,3
7010,13,Advanced,6
7011,8,Intermediate,1
7011,6,Expert,7
7011,4,Advanced,10
7012,13,Expert,2
7012,3,Intermediate,1
7012,29,Intermediate,1
7013,6,Intermediate,4
7013,5,Advanced,0
7013,7,Expert,2
7014,11,Expert,7
7014,6,Expert,6
7014,7,Intermediate,4
7015,2,Intermediate,6
7015,13,Intermediate,11
7015,1,Intermediate,11
7016,7,Advanced,1
7016,5,Advanced,1
7016,9,Advanced,0
7017,23,Expert,1
7017,8,Expert,4
7017,16,Advanced,5
7018,13,Advanced,0
7018,29,Intermediate,2
7018,3,Expert,1
7019,9,Advanced,5
7019,5,Expert,3
7019,8,Advanced,4
7020,11,Advanced,1
7020,29,Expert,0
7020,10,Expert,0
7021,22,Expert,3
7021,3,Expert,0
7021,12,Intermediate,0
7022,10,Advanced,4
7022,3,Expert,6
7022,11,Intermediate,0
7023,7,Advanced,4
7023,8,Advanced,4
7023,5,Expert,6
7024,3,Expert,3
7024,10,Intermediate,2
7024,13,Intermediate,1
7025,7,Expert,2
7025,3,Expert,3
7025,6,Intermediate,1
7026,8,Expert,0
7026,17,Expert,0
7026,16,Advanced,0
7027,16,Intermediate,4
7027,8,Intermediate,5
7027,24,Intermediate,2
7028,29,Expert,0
7028,10,Advanced,1
7028,13,Expert,0
7029,1,Advanced,1
7029,14,Advanced,1
7029,7,Intermediate,1
7030,30,Advanced,0
7030,3,Intermediate,0
7030,12,Advanced,0
7031,2,Intermediate,12
7031,1,Intermediate,10
7031,13,Intermediate,2
7032,11,Intermediate,3
7032,3,Advanced,7
7032,10,Intermediate,9
7033,12,Expert,1
7033,10,Expert,1
7033,3,Expert,0
7034,14,Expert,6
7034,17,Intermediate,0
7034,16,Expert,5
7035,10,Expert,4
7035,3,Intermediate,6
7035,13,Advanced,5
7036,11,Intermediate,3
7036,3,Expert,3
7036,13,Intermediate,0
7037,3,Expert,3
7037,14,Advanced,5
7037,22,Advanced,6
7038,29,Intermediate,4
7038,10,Intermediate,12
7038,30,Expert,6
7039,16,Expert,1
7039,15,Expert,1
7039,26,Expert,0
7040,7,Expert,0
7040,20,Intermediate,3
7040,11,Advanced,2
7041,1,Advanced,5
7041,14,Advanced,7
7041,7,Intermediate,0
7042,16,Advanced,0
7042,24,Advanced,6
7042,17,Expert,6
7043,26,Intermediate,6
7043,1,Intermediate,8
7043,14,Intermediate,5
7044,3,Advanced,3
7044,11,Advanced,6
7044,10,Advanced,5
7045,14,Advanced,0
7045,3,Expert,0
7045,7,Intermediate,1
7046,1,Intermediate,6
7046,14,Expert,3
7046,12,Intermediate,2
7047,14,Advanced,0
7047,3,Intermediate,0
7047,1,Intermediate,0
7048,12,Intermediate,0
7048,14,Expert,1
7048,3,Advanced,1
7049,3,Expert,9
7049,6,Intermediate,8
7049,7,Advanced,8
7050,3,Expert,1
7050,13,Advanced,1
7050,11,Intermediate,1
7051,17,Intermediate,6
7051,16,Expert,1
7051,1,Advanced,3
7052,10,Advanced,5
7052,3,Intermediate,1
7052,12,Advanced,3
7053,29,Intermediate,2
7053,10,Intermediate,1
7053,30,Advanced,2
7054,3,Advanced,7
7054,22,Expert,7
7054,14,Advanced,6
7055,13,Expert,0
7055,1,Advanced,0
7055,2,Expert,1
7056,17,Expert,4
7056,16,Advanced,2
7056,8,Intermediate,4
7057,30,Expert,1
7057,10,Advanced,0
7057,29,Expert,1
7058,12,Advanced,15
7058,13,Intermediate,15
7058,2,Advanced,4
7059,15,Intermediate,1
7059,1,Advanced,1
7059,17,Advanced,2
7060,3,Advanced,0
7060,29,Advanced,11
7060,10,Advanced,3
7061,7,Intermediate,5
7061,4,Expert,5
7061,9,Intermediate,14
7062,10,Expert,1
7062,13,Expert,0
7062,11,Expert,0
7063,7,Expert,1
7063,11,Intermediate,0
7063,20,Intermediate,4
7064,16,Intermediate,1
7064,17,Expert,8
7064,14,Intermediate,2
7065,4,Advanced,2
7065,7,Intermediate,4
7065,9,Advanced,6
7066,20,Intermediate,0
7066,6,Advanced,0
7066,11,Intermediate,2
7067,7,Expert,1
7067,5,Expert,0
7067,4,Advanced,0
7068,20,Advanced,6
7068,11,Advanced,6
7068,6,Advanced,0
7069,8,Expert,0
7069,16,Advanced,1
7069,24,Expert,0
7070,29,Advanced,1
7070,3,Expert,2
7070,30,Advanced,1
