JobID,SkillID,RequiredLevel
1,3,Required
1,11,Preferred
1,10,Required
1,13,Required
2,22,Preferred
2,7,Required
2,3,Required
2,12,Preferred
3,23,Required
3,8,Required
3,17,Required
3,16,Preferred
4,3,Preferred
4,11,Preferred
4,10,Preferred
4,29,Preferred
5,17,Preferred
5,24,Preferred
5,16,Preferred
5,8,Preferred
6,24,Preferred
6,17,Preferred
6,8,Preferred
6,16,Preferred
7,17,Required
7,24,Required
7,8,Preferred
7,16,Preferred
8,20,Required
8,6,Required
8,7,Preferred
8,11,Required
9,1,Required
9,17,Required
9,15,Preferred
9,16,Preferred
10,6,Required
10,9,Preferred
10,5,Required
10,4,Required
11,6,Preferred
11,11,Preferred
11,3,Required
11,20,Required
12,16,Required
12,1,Preferred
12,15,Preferred
12,14,Required
13,20,Required
13,3,Required
13,7,Preferred
13,11,Required
14,13,Required
14,29,Required
14,3,Preferred
14,11,Required
15,26,Required
15,1,Required
15,17,Required
15,14,Preferred
16,13,Required
16,1,Preferred
16,2,Required
16,12,Required
17,1,Preferred
17,14,Preferred
17,15,Required
17,17,Required
18,6,Required
18,11,Required
18,20,Preferred
18,3,Required
19,26,Required
19,15,Preferred
19,14,Preferred
19,17,Required
20,8,Preferred
20,24,Required
20,16,Preferred
20,23,Preferred
21,12,Required
21,30,Preferred
21,3,Preferred
21,10,Preferred
22,30,Required
22,3,Preferred
22,12,Required
22,10,Required
23,12,Preferred
23,7,Preferred
23,3,Preferred
23,1,Preferred
24,7,Preferred
24,3,Required
24,11,Preferred
24,20,Required
25,23,Preferred
25,24,Preferred
25,16,Required
25,8,Preferred
26,20,Preferred
26,6,Preferred
26,11,Preferred
26,3,Preferred
27,9,Required
27,4,Preferred
27,5,Required
27,7,Preferred
28,12,Preferred
28,30,Preferred
28,29,Required
28,3,Preferred
29,6,Preferred
29,5,Required
29,4,Required
29,9,Required
30,12,Preferred
30,7,Preferred
30,1,Preferred
30,3,Required
