SalaryID,ApplicationID,Amount,Currency,PayFrequency,JobLevel,SalaryType
20250701,20250701,86704,USD,Annual,Senior,Offered
20250702,20250702,88777,USD,Annual,Mid,Offered
20250703,20250703,88839,USD,Annual,Senior,Offered
20250704,20250704,157819,USD,Annual,Mid,Offered
20250705,20250705,152362,USD,Annual,Senior,Offered
20250706,20250706,164319,USD,Annual,Entry,Offered
20250707,20250707,130694,USD,Annual,Mid,Offered
20250708,20250708,127552,USD,Annual,Entry,Offered
20250709,20250709,102913,USD,Annual,Entry,Offered
20250710,20250710,102771,USD,Annual,Senior,Offered
20250711,20250711,112448,USD,Annual,Senior,Offered
20250712,20250712,123809,USD,Annual,Senior,Offered
20250713,20250713,122669,USD,Annual,Mid,Offered
20250714,20250714,125138,USD,Annual,Senior,Offered
20250715,20250715,121452,USD,Annual,Mid,Offered
20250716,20250716,122610,USD,Annual,Entry,Offered
20250717,20250717,136283,USD,Annual,Mid,Offered
20250718,20250718,137267,USD,Annual,Mid,Offered
20250719,20250719,128749,USD,Annual,Mid,Offered
20250720,20250720,120190,USD,Annual,Senior,Offered
20250721,20250721,128537,USD,Annual,Senior,Offered
20250722,20250722,149607,USD,Annual,Entry,Offered
20250723,20250723,150402,USD,Annual,Senior,Offered
20250724,20250724,139340,USD,Annual,Senior,Offered
20250725,20250725,116863,USD,Annual,Mid,Offered
20250726,20250726,121406,USD,Annual,Senior,Offered
20250727,20250727,141748,USD,Annual,Senior,Offered
20250728,20250728,148355,USD,Annual,Senior,Offered
20250729,20250729,142663,USD,Annual,Entry,Offered
20250730,20250730,166893,USD,Annual,Mid,Offered
20250731,20250731,167138,USD,Annual,Senior,Offered
20250732,20250732,170510,USD,Annual,Senior,Offered
20250733,20250733,101417,USD,Annual,Entry,Offered
20250734,20250734,104291,USD,Annual,Senior,Offered
20250735,20250735,99567,USD,Annual,Entry,Offered
20250736,20250736,91570,USD,Annual,Mid,Offered
20250737,20250737,96104,USD,Annual,Senior,Offered
20250738,20250738,150763,USD,Annual,Entry,Offered
20250739,20250739,147666,USD,Annual,Entry,Offered
20250740,20250740,152081,USD,Annual,Mid,Offered
20250741,20250741,113938,USD,Annual,Entry,Offered
20250742,20250742,111603,USD,Annual,Entry,Offered
20250743,20250743,192988,USD,Annual,Entry,Offered
20250744,20250744,198019,USD,Annual,Mid,Offered
20250745,20250745,116868,USD,Annual,Senior,Offered
20250746,20250746,120663,USD,Annual,Entry,Offered
20250747,20250747,116937,USD,Annual,Mid,Offered
20250748,20250748,136777,USD,Annual,Senior,Offered
20250749,20250749,138752,USD,Annual,Mid,Offered
20250750,20250750,133275,USD,Annual,Mid,Offered
20250751,20250751,118211,USD,Annual,Mid,Offered
20250752,20250752,117670,USD,Annual,Senior,Offered
20250753,20250753,119839,USD,Annual,Senior,Offered
20250754,20250754,133574,USD,Annual,Mid,Offered
20250755,20250755,140016,USD,Annual,Senior,Offered
20250756,20250756,138490,USD,Annual,Entry,Offered
20250757,20250757,142726,USD,Annual,Mid,Offered
20250758,20250758,142766,USD,Annual,Entry,Offered
20250759,20250759,144480,USD,Annual,Mid,Offered
20250760,20250760,122478,USD,Annual,Senior,Offered
20250761,20250761,127927,USD,Annual,Mid,Accepted
20250762,20250762,171221,USD,Annual,Mid,Offered
20250763,20250763,175313,USD,Annual,Mid,Offered
20250764,20250764,170251,USD,Annual,Senior,Offered
20250765,20250765,122131,USD,Annual,Mid,Accepted
20250766,20250766,121940,USD,Annual,Senior,Offered
20250767,20250767,121840,USD,Annual,Mid,Offered
20250768,20250768,148220,USD,Annual,Mid,Accepted
20250769,20250769,154980,USD,Annual,Senior,Offered
20250770,20250770,111293,USD,Annual,Mid,Offered
20250771,20250771,107836,USD,Annual,Mid,Offered
20250772,20250772,106898,USD,Annual,Senior,Offered
20250773,20250773,192713,USD,Annual,Senior,Offered
20250774,20250774,187871,USD,Annual,Entry,Offered
20250775,20250775,135332,USD,Annual,Entry,Offered
20250776,20250776,136197,USD,Annual,Senior,Offered
